Repeticao,Nos Usados,Tempo (s),CO2e (kg)
1,"[2534, 4673, 4801, 6828, 8310]",9.79658784866333,9.178197716890801e-05
2,"[2081, 3784, 4933, 6459, 8944]",10.10064606666565,9.463035906105324e-05
3,"[2551, 7627, 8362, 8724, 8921]",9.809636116027832,9.190455737969056e-05
4,"[93, 397, 4043, 7172, 9202]",10.079707956314087,9.4434936241363e-05
5,"[5220, 5449, 5551, 8558, 8634]",9.75574312210083,9.139994366618111e-05
6,"[4290, 4423, 4557, 7410, 9441]",10.098752307891846,9.461280474008193e-05
7,"[812, 5393, 5454, 6484, 8658]",9.828767919540406,9.20837498127863e-05
8,"[404, 1854, 2798, 7739, 8289]",10.066035413742066,9.430646905088861e-05
9,"[4406, 7120, 7791, 8151, 9881]",9.750857162475587,9.135415916376303e-05
10,"[3643, 4239, 5473, 5879, 9777]",10.125104475021363,9.485951726655131e-05
11,"[738, 2714, 2844, 5099, 5214]",9.735108184814454,9.120566604943261e-05
12,"[1149, 3184, 5625, 7086, 9753]",10.1919114112854,9.548543521437246e-05
13,"[1853, 6073, 6703, 7817, 9501]",9.702151918411255,9.089742879867855e-05
14,"[3765, 3875, 4515, 4590, 7095]",10.11616621017456,9.477569461281338e-05
15,"[85, 158, 1233, 7857, 9334]",9.722386026382447,9.108705008639922e-05
