Nº Repetição,Nós Usados,Tempo (s),CO2e (kg)
1,"[165, 592, 678, 861, 974]",0.01282048225402832,1.2678199832204002e-07
2,"[12, 94, 119, 659, 789]",0.01365656852722168,1.3476241367484048e-07
3,"[393, 407, 723, 728, 938]",0.011327362060546875,1.1341309934009248e-07
4,"[82, 530, 600, 922, 997]",0.01380767822265625,1.3582260173910784e-07
5,"[169, 193, 433, 897, 931]",0.011162233352661134,1.1199959471755911e-07
6,"[258, 309, 437, 708, 849]",0.014124870300292969,1.3922541361739352e-07
7,"[512, 545, 674, 907, 990]",0.010967302322387695,1.0964245200362808e-07
8,"[315, 391, 421, 600, 751]",0.014173269271850586,1.4079926513586662e-07
9,"[745, 770, 890, 897, 946]",0.012633991241455079,1.2495096363034394e-07
10,"[91, 111, 586, 651, 795]",0.012328672409057616,1.2390717708815684e-07
11,"[146, 275, 352, 816, 833]",0.013528108596801758,1.3345582431136568e-07
12,"[214, 407, 715, 766, 952]",0.011661195755004882,1.1620570367377047e-07
13,"[6, 172, 315, 503, 835]",0.01396317481994629,1.3742149592071477e-07
14,"[1, 71, 99, 713, 792]",0.013279485702514648,1.3128769159808477e-07
15,"[295, 426, 427, 537, 670]",0.012863540649414062,1.2705021345132543e-07
