Nº Repetição,Nós Usados,Tempo (s),CO2e (kg)
1,"[165, 592, 678, 861, 974]",0.015480327606201171,1.5746397913535228e-07
2,"[12, 94, 119, 659, 789]",0.014371204376220702,1.4180204343052388e-07
3,"[393, 407, 723, 728, 938]",0.026723098754882813,2.6666879005898986e-07
4,"[82, 530, 600, 922, 997]",0.015538644790649415,1.5364882096806854e-07
5,"[169, 193, 433, 897, 931]",0.012767887115478516,1.2792972849577776e-07
6,"[258, 309, 437, 708, 849]",0.013956022262573243,1.3851371678091728e-07
7,"[512, 545, 674, 907, 990]",0.015697479248046875,9.133856859306698e-08
8,"[315, 391, 421, 600, 751]",0.01300191879272461,1.2935882468628347e-07
9,"[745, 770, 890, 897, 946]",0.015548229217529297,1.5283459061892907e-07
10,"[91, 111, 586, 651, 795]",0.012630653381347657,1.2606610551431057e-07
11,"[146, 275, 352, 816, 833]",0.01540060043334961,1.5206907858267637e-07
12,"[214, 407, 715, 766, 952]",0.013780355453491211,1.3627077772116788e-07
13,"[6, 172, 315, 503, 835]",0.014950037002563477,1.4813761601132063e-07
14,"[1, 71, 99, 713, 792]",0.016226863861083983,1.5921339621623737e-07
15,"[295, 426, 427, 537, 670]",0.012741804122924805,1.2675152676759806e-07
