Algoritmo,V,Média Tempo (s),DP Tempo (s),Média CO2e (kg),DP CO2e (kg)
Dijkstra Classico,100.0,0.001119,0.000093871,0.0000000167,0.000000001518
Dijkstra MiniHeap,100.0,0.000895,0.000076605,0.0000000145,0.000000001221
NetworkX,100.0,0.000713,0.000260846,0.0000000142,0.000000004336
Dijkstra Classico,500.0,0.022718,0.002504259,0.0000002173,0.000000026452
Dijkstra MiniHeap,500.0,0.005046,0.000585183,0.0000000534,0.000000006234
NetworkX,500.0,0.004655,0.001033062,0.0000000508,0.000000013866
Dijkstra Classico,1000.0,0.098481,0.011204401,0.0000009195,0.000000113801
Dijkstra MiniHeap,1000.0,0.012820,0.001110281,0.0000001271,0.000000010308
NetworkX,1000.0,0.015254,0.003402703,0.0000001472,0.000000037340
Dijkstra Classico,5000.0,2.457672,0.135949318,0.0000230332,0.000001274571
Dijkstra MiniHeap,5000.0,0.167496,0.011293991,0.0000015257,0.000000100011
NetworkX,5000.0,0.308148,0.074972267,0.0000028942,0.000000702488
Dijkstra Classico,10000.0,9.925304,0.184680982,0.0000929880,0.000001730052
Dijkstra MiniHeap,10000.0,0.638813,0.021853914,0.0000059920,0.000000204548
NetworkX,10000.0,1.242960,0.058867838,0.0000116512,0.000000551464
